,ROI number,AAL,ROIlabel,label,number
135,136,Parietal_Sup_L,Superior Parietal Cortex,VN,59
136,137,Insula_R,Insular Cortex,CCN,30
137,138,Lingual_R,Lingual Gyrus,VN,48
138,139,Frontal_Sup_Medial_R,Superior Frontal Gyrus,DMN,26
139,140,Temporal_Mid_R,Middle Temporal Gyrus,MN,86
140,141,Frontal_Inf_Tri_L,Inferior Frontal Gyrus,CCN,13
141,142,Occipital_Sup_R,Superior Occipital Gyrus,VN,50
142,143,Temporal_Mid_R,Middle Temporal Gyrus,MN,86
143,144,Frontal_Inf_Tri_R,Inferior Frontal Gyrus,CCN,14
144,145,Hippocampus_L,Hippocampus,BLN,37
145,146,Temporal_Sup_L,Superior Temporal Gyrus,AN,81
146,147,Precuneus_L,Precuneus,DMN,67
147,148,None,,,116
148,149,Frontal_Sup_Medial_L,Superior Frontal Gyrus,DMN,25
149,150,Occipital_Mid_L,Middle Occipital Gyrus,VN,51
150,151,Frontal_Inf_Tri_L,Inferior Frontal Gyrus,CCN,13
151,152,Vermis_4_5,,,116
152,153,Temporal_Sup_R,Superior Temporal Gyrus,AN,82
153,154,Postcentral_L,Postcentral Gyrus,SMN,57
154,155,Hippocampus_R,Hippocampus,BLN,38
155,156,Parietal_Inf_L,Inferior Parietal Cortex,CCN,61
156,157,Postcentral_R,Postcentral Gyrus,SMN,58
157,158,Occipital_Inf_L,Inferior Occipital Gyrus,VN,53
158,159,Occipital_Inf_L,Inferior Occipital Gyrus,VN,53
159,160,Olfactory_L,Olfactory cortex,BLN,21
160,161,Supp_Motor_Area_R,Supplementary Motor Area,SMN,20
161,162,Cerebelum_4_5_L,Lobule,Others,116
162,163,Precuneus_R,Precuneus,DMN,68
163,164,Frontal_Inf_Tri_R,Inferior Frontal Gyrus,CCN,14
164,165,Frontal_Inf_Oper_L,Inferior Frontal Gyrus,CCN,11
165,166,Angular_R,Angular Gyrus,DMN,66
166,167,Frontal_Mid_L,Middle Frontal Gyrus,CCN,7
167,168,Frontal_Mid_R,Middle Frontal Gyrus,CCN,8
168,169,Frontal_Mid_Orb_L,Middle Frontal Gyrus,DMN,9
169,170,Occipital_Mid_R,Middle Occipital Gyrus,VN,52
170,171,Parietal_Inf_L,Inferior Parietal Cortex,CCN,61
171,172,Fusiform_R,Fusiform Gyrus,VN,56
172,173,Supp_Motor_Area_L,Supplementary Motor Area,SMN,19
173,174,Precuneus_L,Precuneus,DMN,67
174,175,Occipital_Inf_R,Inferior Occipital Gyrus,VN,54
175,176,Vermis_8,,,116
176,177,Lingual_L,Lingual Gyrus,VN,47
177,178,Putamen_R,Putamen,SCN,74
178,179,Lingual_L,Lingual Gyrus,VN,47
179,180,SupraMarginal_R,Supramarginal Gyrus,CCN,64
180,181,Temporal_Pole_Sup_R,Superior Part of Right Temporal Pole,BLN,84
181,182,Supp_Motor_Area_L,Supplementary Motor Area,SMN,19
182,183,Frontal_Mid_L,Middle Frontal Gyrus,CCN,7
183,184,Insula_L,Insular Cortex,CCN,29
184,185,Rolandic_Oper_R,Rolandic Operculum,AN,18
185,186,Frontal_Sup_Medial_R,Superior Frontal Gyrus,DMN,26
186,187,Frontal_Sup_R,Superior Frontal Gyrus,DMN,24
187,188,Parietal_Sup_L,Superior Parietal Cortex,VN,59
188,189,Fusiform_L,Fusiform Gyrus,VN,55
189,190,Cerebelum_3_R,Lobule,Others,116
190,191,Frontal_Sup_L,Superior Frontal Gyrus,DMN,23
191,192,Cerebelum_Crus2_L,Crus I,Others,116
192,193,Frontal_Sup_R,Superior Frontal Gyrus,DMN,24
193,194,None,,,116
194,195,Lingual_R,Lingual Gyrus,VN,48
195,196,Temporal_Pole_Sup_L,Superior Part of Right Temporal Pole,BLN,83
196,197,Precuneus_L,Precuneus,DMN,67
197,198,Fusiform_R,Fusiform Gyrus,VN,56
198,199,ParaHippocampal_L,ParaHippocampal Gyrus,BLN,39
199,200,Temporal_Sup_L,Superior Temporal Gyrus,AN,81
